Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
3/9/2023 13:53,Content Creators,YOUTUBE,N/A ,0,0,Text
3/9/2023 15:00,DOTA2,TWITTER,N/A ,1924,58,Photo
3/9/2023 15:00,General ,FBPAGE,N/A ,100614,10069,Photo
3/9/2023 15:02,General ,TWITTER,Community Engagement ,1642,67,Text
3/9/2023 15:25,DOTA2,TWITTER,N/A ,751,18,Photo
3/9/2023 15:45,General ,TWITTER,Community Engagement ,16693,164,Photo
3/9/2023 16:00,General ,TIKTOK_BUSINESS,Evergreen ,331,4,Video
3/9/2023 16:00,General ,INSTAGRAM,Evergreen ,9300,98,Video
3/9/2023 16:26,DOTA2,TWITTER,N/A ,884,18,Photo
3/9/2023 16:26,General ,TWITTER,Community Engagement ,16022,261,Text
3/9/2023 16:26,General ,TWITTER,Community Engagement ,44390,479,Photo
3/9/2023 16:26,General ,FBPAGE,N/A ,26522,1593,Photo
3/9/2023 16:27,DOTA2,TWITTER,N/A ,0,0,Text
3/9/2023 16:27,General ,TWITTER,Community Engagement ,6098,124,Photo
3/9/2023 16:45,General ,TWITTER,Community Engagement ,20207,311,Photo
3/9/2023 17:14,General ,INSTAGRAM,Community Engagement ,7164,0,Video
3/9/2023 17:20,General ,INSTAGRAM,Community Engagement ,10952,249,Video
3/9/2023 17:23,General ,TWITTER,Community Engagement ,18354,529,Video
3/9/2023 17:24,DOTA2,TWITTER,N/A ,747,12,Text
3/9/2023 17:32,DOTA2,TWITTER,N/A ,1496,43,Photo
3/9/2023 17:42,General ,INSTAGRAM,N/A ,6349,0,Video
3/9/2023 17:44,DOTA2,TWITTER,N/A ,1420,28,Photo
3/9/2023 17:44,General ,FBPAGE,N/A ,42080,6682,Photo
3/9/2023 17:45,General ,TWITTER,Community Engagement ,35367,647,Photo
3/9/2023 17:47,General ,TWITTER,Community Engagement ,30732,325,Text
3/9/2023 17:49,General ,TWITTER,Community Engagement ,1654,59,Text
3/10/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,894,31,Video
3/10/2023 6:06,General ,INSTAGRAM,Evil Exhibited ,8258,92,Video
3/10/2023 8:11,General ,TWITTER,Evil Exhibited ,441,23,Text
3/10/2023 8:48,General ,TWITTER,Community Engagement ,415457,10638,Text
3/10/2023 9:26,General ,YOUTUBE,N/A ,3383,104,Video
3/10/2023 10:11,Valorant,YOUTUBE,Evil Exhibited ,399,30,Video
3/10/2023 10:23,General ,YOUTUBE,N/A ,2494,108,Video
3/10/2023 10:23,General ,YOUTUBE,N/A ,1823,54,Video
3/10/2023 11:00,General ,TWITTER,Evil Exhibited ,19333,193,Photo
3/10/2023 11:00,General ,INSTAGRAM,Evil Exhibited ,6811,75,Photo
3/10/2023 11:12,DOTA2,TWITTER,Evil Exhibited ,917,9,Photo
3/10/2023 12:09,General ,INSTAGRAM,Community Engagement ,8617,0,Video
3/10/2023 12:10,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:10,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:10,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:10,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:10,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:11,General ,INSTAGRAM,Community Engagement ,7683,0,Video
3/10/2023 12:11,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:11,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:11,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:11,General ,INSTAGRAM,N/A ,0,0,Photo
3/10/2023 12:15,Valorant,YOUTUBE,Evil Exhibited ,26,2,Video
3/10/2023 12:37,General ,FBPAGE,N/A ,0,0,Photo
3/10/2023 12:37,General ,FBPAGE,N/A ,1,940,Photo
3/10/2023 12:37,General ,FBPAGE,N/A ,0,0,Photo
3/10/2023 13:45,DOTA2,TWITTER,N/A ,1667,24,Text
3/10/2023 14:00,Content Creators,YOUTUBE,Community Engagement ,38,9,Video
