Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
1/13/2023 12:41,General ,INSTAGRAM,N/A ,6149,0,Photo
1/13/2023 12:42,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:42,General ,INSTAGRAM,N/A ,5382,0,Video
1/13/2023 12:42,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:42,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,5022,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 12:44,General ,INSTAGRAM,N/A ,5182,0,Video
1/13/2023 15:00,General ,TWITTER,N/A ,15447,133,Text
1/13/2023 15:00,General ,TWITTER,N/A ,27952,1382,Video
1/13/2023 15:04,General ,INSTAGRAM,N/A ,5355,0,Video
1/13/2023 15:05,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 15:05,General ,INSTAGRAM,N/A ,0,0,Photo
1/13/2023 15:05,General ,INSTAGRAM,N/A ,0,0,Photo
1/14/2023 10:00,DOTA2,TWITTER,N/A ,5680,477,Photo
1/15/2023 9:00,CSGO,TWITTER,Community Engagement ,204908,5013,Photo
1/16/2023 9:00,General ,TWITTER,N/A ,22325,57,Link
1/16/2023 10:02,DOTA2,TWITTER,N/A ,3030,257,Photo
1/16/2023 10:04,General ,FBPAGE,N/A ,40906,7083,Photo
1/16/2023 10:45,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 9:13,DOTA2,TWITTER,N/A ,1257,102,Photo
1/17/2023 9:13,DOTA2,TWITTER,N/A ,2459,154,Photo
1/17/2023 9:13,General ,FBPAGE,N/A ,50700,7510,Photo
1/17/2023 9:14,General ,FBPAGE,N/A ,0,0,Photo
1/17/2023 9:14,General ,FBPAGE,N/A ,0,0,Photo
1/17/2023 10:00,DOTA2,TWITTER,N/A ,10818,739,Video
1/17/2023 10:00,General ,TWITTER,Community Engagement ,153426,2707,Video
1/17/2023 10:00,General ,INSTAGRAM,N/A ,29426,1156,Video
1/17/2023 10:00,General ,FBPAGE,Community Engagement ,47822,1367,Video
1/17/2023 10:00,General ,FBPAGE,N/A ,28557,5986,Video
1/17/2023 10:04,CSGO,TWITTER,N/A ,0,0,Video
1/17/2023 10:27,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 11:22,General ,TWITTER,N/A ,6896,311,Video
1/17/2023 11:25,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 11:26,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 11:27,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 11:28,General ,FBPAGE,N/A ,0,0,Text
1/17/2023 11:42,DOTA2,TWITTER,N/A ,1267,50,Text
1/17/2023 11:45,DOTA2,TWITTER,N/A ,967,25,Video
1/17/2023 12:00,General ,TWITTER,N/A ,34946,920,Photo
1/17/2023 12:00,General,LINKEDIN_COMPANY,N/A ,5270,121,Photo
1/17/2023 14:00,General ,TWITTER,Community Engagement ,28884,1102,Photo
1/17/2023 14:01,General ,TWITTER,N/A ,557,38,Video
1/17/2023 15:00,CSGO,TWITTER,Community Engagement ,82237,1505,Photo
1/17/2023 15:15,CSGO,TWITTER,N/A ,322,5,Text
1/17/2023 15:27,DOTA2,TWITTER,N/A ,8755,402,Photo
1/17/2023 15:27,General ,FBPAGE,N/A ,32342,3744,Photo
1/17/2023 15:28,General ,FBPAGE,N/A ,0,0,Link
1/17/2023 15:29,General ,INSTAGRAM,N/A ,10232,0,Photo
