Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
2/5/2023 10:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,2579,83,Video
2/5/2023 10:01,General ,INSTAGRAM,Evil Exhibited ,11687,140,Video
2/5/2023 11:16,DOTA2,TWITTER,N/A ,1222,18,Text
2/6/2023 9:30,General ,YOUTUBE,Evergreen ,613,27,Video
2/6/2023 9:30,General ,TIKTOK_BUSINESS,Evergreen ,622,47,Video
2/6/2023 9:30,General ,INSTAGRAM,Evergreen ,7244,109,Video
2/6/2023 11:09,Content Creators,YOUTUBE,N/A ,0,0,Video
2/6/2023 11:20,DOTA2,TWITTER,N/A ,1389,43,Text
2/6/2023 12:30,General ,YOUTUBE,Evergreen ,544,17,Video
2/6/2023 12:30,General ,TIKTOK_BUSINESS,Evergreen ,1458,70,Video
2/6/2023 12:30,General ,INSTAGRAM,Evergreen ,10781,220,Video
2/6/2023 13:10,General ,TWITTER,Community Engagement ,10153,41,Photo
2/6/2023 13:19,General ,TWITTER,Evil Exhibited ,56791,1444,Photo
2/6/2023 13:20,General ,TWITTER,Evil Exhibited ,3194,101,Text
2/6/2023 13:21,General ,TWITTER,Evil Exhibited ,922,21,Text
2/6/2023 13:23,General ,TWITTER,Evil Exhibited ,1153,20,Video
2/6/2023 14:06,General ,TWITTER,Community Engagement ,24054,1366,Photo
2/6/2023 14:09,General ,TWITTER,Community Engagement ,773,10,Text
2/6/2023 14:33,General ,TWITTER,Community Engagement ,11714,86,Photo
2/6/2023 17:01,General ,TWITTER,Community Engagement ,237,10,Text
2/6/2023 17:01,General ,TWITTER,N/A ,0,0,Photo
2/7/2023 8:21,CSGO,TWITTER,N/A ,0,0,Video
2/7/2023 9:00,General ,YOUTUBE,Evergreen ,365,17,Video
2/7/2023 9:00,General ,TIKTOK_BUSINESS,Evergreen ,222,15,Video
2/7/2023 9:06,General ,INSTAGRAM,Evergreen ,7618,82,Video
2/7/2023 9:20,General ,TWITTER,Community Engagement ,873,44,Video
2/7/2023 11:35,General ,TWITTER,Evil Exhibited ,27024,697,Photo
